Seq No       X      Y    X-Y
  1068     -1     -1     -1
  1069     -1     -1     -1
  1070     -1     -1     -1
  1071     -1     -1     -1
  1072     -1     -1     -1
  1073     -1     -1     -1
  1074     -1     -1     -1
  1075      4      2      2
  1076     -1     -1     -1
  1077     -1     -1     -1
  1078     -1     -1     -1
  1079     -1     -1     -1
  1080     -1     -1     -1
  1081     -1     -1     -1
  1082     -1     -1     -1
  1083     -1     -1     -1
  1084     -1     -1     -1
  1085     -1     -1     -1
  1086     -1     -1     -1
  1087     -1     -1     -1
  1088     -1     -1     -1
  1089     -1     -1     -1
  1090     -1     -1     -1
  1091     -1     -1     -1
  1092     -1     -1     -1
  1093     -1     -1     -1
  1094     -1     -1     -1
  1095     -1     -1     -1
  1096     -1     -1     -1
  1097     -1     -1     -1
  1098     -1     -1     -1
  1099     -1     -1     -1
  1100     -1     -1     -1
  1101     -1     -1     -1
  1102     -1     -1     -1
  1103     -1     -1     -1
  1104     -1     -1     -1
  1105     -1     -1     -1
  1106     -1     -1     -1
  1107     -1     -1     -1
  1108     -1     -1     -1
  1109     -1     -1     -1
  1110     -1     -1     -1
  1111     -1     -1     -1
  1112     -1     -1     -1
  1113     -1     -1     -1
  1114     -1     -1     -1
  1115     -1     -1     -1
  1116     -1     -1     -1
  1117     -1     -1     -1
  1118     -1     -1     -1
  1119     -1     -1     -1
  1120     -1     -1     -1
  1121     -1     -1     -1
  1122     -1     -1     -1
  1123      3      2      1
  1124     10      2      8
  1125     17      6     11
  1126      1      2     -1
  1127     -1     14     15
  1128     19     -1    -20
  1129     -1     -1     -1
  1130     -1     -1     -1
  1131     -1     -1     -1
  1132     -1     -1     -1
  1133     -1     -1     -1
  1134     -1     -1     -1
  1135     -1     -1     -1
  1136     -1     -1     -1
  1137     -1     -1     -1
  1138     -1     -1     -1
  1139     -1     -1     -1
  1140     -1     -1     -1
  1141     -1     -1     -1
  1142     -1     -1     -1
  1143     -1     37     38
  1144     -1     -1     -1
  1145     -1     -1     -1
  1146     -1     -1     -1
  1147     -1     -1     -1
  1148     -1     -1     -1
  1149     -1     -1     -1
  1150     -1     -1     -1
  1151     -1     -1     -1
  1152      2      2      0
  1153     12     16     -4
  1154     -1     -1     -1
  1155     -1     -1     -1
  1156     27     25      2
  1157     23     23      0
  1158     15     27    -12
  1159     24     27     -3
  1160     24     27     -3
  1161     -1     -1     -1
  1162     -1     -1     -1
  1163     14     31    -17
  1164     14     13      1
  1165     42     28     14
  1166     -1     -1     -1
  1167     35     32      3
